trade_no,equity
1,9900.0
2,9800.0
3,9700.0
4,9600.0
5,9500.0
6,9800.0
7,9700.0
8,10000.0
9,10300.0
10,10600.0
11,10500.0
12,10800.0
13,10700.0
14,10600.0
15,10500.0
16,10400.0
17,10300.0
18,10200.0
19,10100.0
20,10000.0
21,9900.0
22,10200.0
23,10100.0
24,10400.0
25,10300.0
26,10200.0
27,10100.0
28,10000.0
29,9900.0
30,9800.0
31,10100.0
32,10000.0
33,10300.0
34,10200.0
35,10500.0
36,10800.0
37,10700.0
38,11000.0
39,10900.0
40,10800.0
41,11100.0
42,11000.0
43,10900.0
44,10800.0
45,11100.0
46,11000.0
47,10900.0
48,10800.0
49,10700.0
50,10600.0
51,10900.0
52,10800.0
53,11100.0
54,11400.0
55,11700.0
56,12000.0
57,11900.0
58,11800.0
59,12100.0
60,12000.0
61,12300.0
62,12200.0
63,12100.0
64,12400.0
65,12300.0
66,12200.0
67,12100.0
68,12000.0
69,12300.0
70,12600.0
71,12500.0
72,12800.0
73,12700.0
74,13000.0
75,12900.0
76,12800.0
77,12700.0
78,13000.0
79,12900.0
80,12800.0
81,13100.0
82,13000.0
83,12900.0
84,12800.0
85,13100.0
86,13000.0
87,12900.0
88,12800.0
89,12700.0
90,13000.0
91,13300.0
92,13200.0
93,13500.0
94,13400.0
95,13300.0
96,13600.0
97,13900.0
98,14200.0
99,14100.0
100,14400.0
101,14300.0
102,14200.0
103,14500.0
104,14400.0
105,14300.0
106,14600.0
107,14500.0
108,14400.0
109,14700.0
110,15000.0
111,15300.0
112,15200.0
113,15100.0
114,15000.0
115,14900.0
116,15200.0
117,15100.0
118,15000.0
119,14900.0
120,14800.0
121,15100.0
122,15000.0
123,14900.0
124,14800.0
125,14700.0
126,14600.0
127,14500.0
128,14400.0
129,14300.0
130,14600.0
131,14500.0
132,14400.0
133,14300.0
134,14200.0
135,14100.0
136,14000.0
137,13900.0
138,13800.0
139,14100.0
140,14000.0
141,13900.0
142,14200.0
143,14100.0
144,14000.0
145,13900.0
146,13800.0
147,14100.0
148,14400.0
149,14700.0
150,14600.0
151,14500.0
152,14400.0
153,14300.0
154,14200.0
155,14100.0
156,14400.0
157,14700.0
158,14600.0
159,14500.0
160,14400.0
161,14300.0
162,14600.0
163,14500.0
164,14400.0
165,14700.0
166,15000.0
167,14900.0
168,15200.0
169,15100.0
170,15000.0
171,15300.0
172,15600.0
173,15500.0
174,15800.0
175,15700.0
176,15600.0
177,15900.0
178,16200.0
179,16500.0
180,16400.0
181,16300.0
182,16600.0
183,16500.0
184,16400.0
185,16300.0
186,16200.0
187,16500.0
188,16400.0
189,16700.0
190,16600.0
191,16900.0
192,17200.0
193,17100.0
194,17400.0
195,17700.0
196,18000.0
197,17900.0
198,17800.0
199,17700.0
200,17600.0
201,17500.0
202,17800.0
203,17700.0
204,18000.0
205,17900.0
206,18200.0
207,18100.0
208,18000.0
209,17900.0
210,17800.0
211,18100.0
212,18400.0
213,18700.0
214,19000.0
215,18900.0
216,18800.0
217,19100.0
218,19000.0
219,18900.0
220,19200.0
221,19500.0
222,19800.0
223,19700.0
224,20000.0
225,19900.0
226,19800.0
227,20100.0
228,20000.0
229,19900.0
230,20200.0
231,20500.0
232,20800.0
233,20700.0
234,20600.0
235,20500.0
236,20400.0
237,20700.0
238,20600.0
239,20500.0
240,20400.0
241,20300.0
242,20200.0
243,20100.0
244,20000.0
245,20300.0
246,20200.0
247,20500.0
248,20400.0
249,20300.0
250,20600.0
251,20500.0
252,20400.0
253,20700.0
254,20600.0
255,20900.0
256,21200.0
257,21100.0
258,21000.0
259,21300.0
260,21600.0
261,21900.0
262,21800.0
263,22100.0
264,22000.0
265,21900.0
266,22200.0
267,22100.0
268,22400.0
269,22300.0
270,22600.0
271,22500.0
272,22400.0
273,22700.0
274,22600.0
275,22900.0
276,22800.0
277,22700.0
278,23000.0
279,23300.0
280,23600.0
281,23900.0
282,24200.0
283,24100.0
284,24000.0
285,24300.0
286,24600.0
287,24500.0
288,24800.0
289,25100.0
