index,time,price,type,label
4,2026-06-05 15:00:00,1.16428,SH,SH
27,2026-06-05 20:45:00,1.15181,SL,SL
31,2026-06-05 21:45:00,1.15289,SH,LH
40,2026-06-08 00:00:00,1.15009,SL,LL
56,2026-06-08 04:00:00,1.15347,SH,HH
58,2026-06-08 04:30:00,1.15114,SL,HL
63,2026-06-08 05:45:00,1.15315,SH,LH
79,2026-06-08 09:45:00,1.15121,SL,HL
81,2026-06-08 10:15:00,1.15268,SH,LH
90,2026-06-08 12:30:00,1.14991,SL,LL
98,2026-06-08 14:30:00,1.15438,SH,HH
105,2026-06-08 16:15:00,1.15547,SH,HH
109,2026-06-08 17:15:00,1.15309,SL,HL
112,2026-06-08 18:00:00,1.15478,SH,LH
122,2026-06-08 20:30:00,1.15351,SL,HL
173,2026-06-09 09:15:00,1.15534,SH,HH
180,2026-06-09 11:00:00,1.15357,SL,HL
200,2026-06-09 16:00:00,1.15779,SH,HH
214,2026-06-09 19:30:00,1.15277,SL,LL
217,2026-06-09 20:15:00,1.1553,SH,LH
227,2026-06-09 22:45:00,1.15391,SL,HL
259,2026-06-10 06:45:00,1.15521,SH,LH
290,2026-06-10 14:30:00,1.15343,SL,LL
299,2026-06-10 16:45:00,1.1573,SH,HH
307,2026-06-10 18:45:00,1.15345,SL,HL
310,2026-06-10 19:30:00,1.15593,SH,LH
314,2026-06-10 20:30:00,1.15442,SL,HL
316,2026-06-10 21:00:00,1.15576,SH,LH
336,2026-06-11 02:00:00,1.15253,SL,LL
346,2026-06-11 04:30:00,1.1556,SH,LH
356,2026-06-11 07:00:00,1.15417,SL,HL
369,2026-06-11 10:15:00,1.15555,SH,LH
376,2026-06-11 12:00:00,1.15286,SL,LL
386,2026-06-11 14:30:00,1.15417,SH,LH
389,2026-06-11 15:15:00,1.15158,SL,LL
391,2026-06-11 15:45:00,1.15435,SH,HH
400,2026-06-11 18:00:00,1.15129,SL,LL
401,2026-06-11 18:15:00,1.15242,SH,LH
409,2026-06-11 20:15:00,1.15015,SL,LL
418,2026-06-11 22:30:00,1.15897,SH,HH
429,2026-06-12 01:15:00,1.15719,SL,HL
432,2026-06-12 02:00:00,1.15864,SH,LH
441,2026-06-12 04:15:00,1.15612,SL,LL
450,2026-06-12 06:30:00,1.15751,SH,LH
459,2026-06-12 08:45:00,1.15565,SL,LL
463,2026-06-12 09:45:00,1.15741,SH,LH
466,2026-06-12 10:30:00,1.15566,SL,HL
473,2026-06-12 12:15:00,1.15895,SH,HH
477,2026-06-12 13:15:00,1.15683,SL,HL
498,2026-06-12 18:30:00,1.15837,SH,LH
500,2026-06-12 19:00:00,1.15694,SL,HL
524,2026-06-15 01:00:00,1.16176,SH,HH
531,2026-06-15 02:45:00,1.16022,SL,HL
552,2026-06-15 08:00:00,1.16222,SH,HH
558,2026-06-15 09:30:00,1.16006,SL,LL
574,2026-06-15 13:30:00,1.16146,SH,LH
581,2026-06-15 15:15:00,1.16044,SL,HL
586,2026-06-15 16:30:00,1.16206,SH,HH
595,2026-06-15 18:45:00,1.15965,SL,LL
612,2026-06-15 23:00:00,1.15836,SL,LL
616,2026-06-16 00:00:00,1.15982,SH,LH
616,2026-06-16 00:00:00,1.15815,SL,LL
627,2026-06-16 02:45:00,1.15939,SH,LH
637,2026-06-16 05:15:00,1.15827,SL,HL
664,2026-06-16 12:00:00,1.16095,SH,HH
677,2026-06-16 15:15:00,1.15913,SL,HL
682,2026-06-16 16:30:00,1.16036,SH,LH
686,2026-06-16 17:30:00,1.15878,SL,LL
693,2026-06-16 19:15:00,1.16199,SH,HH
703,2026-06-16 21:45:00,1.16056,SL,HL
725,2026-06-17 03:15:00,1.16167,SH,LH
750,2026-06-17 09:30:00,1.16039,SL,LL
753,2026-06-17 10:15:00,1.1615,SH,LH
757,2026-06-17 11:15:00,1.1598,SL,LL
770,2026-06-17 14:30:00,1.15849,SL,LL
777,2026-06-17 16:15:00,1.1603,SH,LH
783,2026-06-17 17:45:00,1.1581,SL,LL
795,2026-06-17 20:45:00,1.15964,SH,LH
802,2026-06-17 22:30:00,1.14779,SL,LL
826,2026-06-18 04:30:00,1.15225,SH,LH
843,2026-06-18 08:45:00,1.15103,SL,HL
846,2026-06-18 09:30:00,1.15284,SH,HH
868,2026-06-18 15:00:00,1.14532,SL,LL
869,2026-06-18 15:15:00,1.14818,SH,LH
873,2026-06-18 16:15:00,1.14629,SL,HL
880,2026-06-18 18:00:00,1.14876,SH,HH
887,2026-06-18 19:45:00,1.14616,SL,LL
889,2026-06-18 20:15:00,1.14736,SH,LH
897,2026-06-18 22:15:00,1.14508,SL,LL
904,2026-06-19 00:00:00,1.14674,SH,LH
904,2026-06-19 00:00:00,1.14555,SL,HL
918,2026-06-19 03:30:00,1.14657,SH,LH
937,2026-06-19 08:15:00,1.14177,SL,LL
950,2026-06-19 11:30:00,1.1466,SH,HH
957,2026-06-19 13:15:00,1.14524,SL,HL
967,2026-06-19 15:45:00,1.1475,SH,HH
970,2026-06-19 16:30:00,1.14565,SL,HL
976,2026-06-19 18:00:00,1.14762,SH,HH
979,2026-06-19 18:45:00,1.14616,SL,HL
991,2026-06-19 21:45:00,1.14809,SH,HH
